DSMClassID,ClassName,,,,
1,Neurodevelopmental Disorders,,,,
2,Schizophrenia Spectrum and Other Psychotic Disorders,,,,
3,Bipolar and Related Disorders,,,,N
4,Depressive Disorders,,,,
5,Anxiety Disorders,,,,
6,Obsessive-Compulsive and Related Disorders,,,,
7,Trauma- and Stressor-Related Disorders,,,,
8,Dissociative Disorders,,,,
9,Somatic Symptom and Related Disorders,,,,
10,Feeding and Eating Disorders,,,,
11,Elimination Disorders,,,,
12,Sleep-Wake Disorders,,,,
13,Sexual Dysfunctions,,,,
14,Gender Dysphoria,,,,
15,"Disruptive, Impulse-Control, and Conduct Disorders",,,,
16,Substance-Related and Addictive Disorders,,,,
17,Neuocognitive Disorders,,,,
18,Personality Disorders,,,,
19,Paraphilic Disorders,,,,
20,Other Mental Disorders,,,,
21,Medication-Induced Movement Disorders and Other Adverse Effects of Medication,,,,
22,Other Conditions That May Be a Focus of Clinical Attention,,,,
